Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 2908 4567
Dim 2: 2040 4909
Dim 3: 4672 4180
Object coordinates:
383: 62.248291 117.452506 90.683387
384: 111.919455 42.950571 108.808633
385: 70.975284 64.222328 89.501678
386: 93.029690 96.012460 121.285436
387: 78.345855 88.918700 136.992187
388: 102.198338 86.665590 106.934878
389: 144.129131 107.347865 74.088430
390: 110.713717 109.931319 111.306949
391: 88.983875 109.972405 102.544995
392: 132.907691 60.720299 91.930169
393: 90.264123 129.106554 136.063522
394: 101.257512 39.376207 64.215404
395: 73.983542 114.099126 33.389494
396: 150.992651 113.093674 37.933329
397: 113.384662 142.924948 80.508838
398: 104.101272 73.199348 33.280647
399: 149.598718 123.992921 80.475390
400: 120.502655 60.794837 82.033850
401: 152.472308 61.978618 64.168759
402: 165.204722 95.368735 80.981743
403: 95.635705 66.716371 70.313998
404: 103.834200 54.511899 118.804818
405: 29.603964 93.912789 95.399585
406: 23.927880 77.469172 99.076901
407: 30.666490 80.802381 84.768127
408: 65.418495 68.591008 59.772835
409: 78.826624 128.579239 33.247921
410: 71.798501 147.506324 77.791652
411: 83.024810 63.220698 106.649526
412: 53.384512 107.966699 47.795842
413: 101.209174 139.597889 58.314271
414: 124.942905 111.860588 141.718013
415: 79.554748 72.636516 131.107258
416: 109.981383 109.262198 137.901917
417: 163.176106 104.224747 82.218940
418: 94.883081 139.340662 52.584696
419: 92.477160 86.067357 40.561368
420: 119.502153 78.157224 110.184691
421: 152.156714 127.292667 43.065489
422: 20.340838 76.374368 74.992138
423: 134.376121 47.213706 103.622321
424: 67.840108 90.300194 94.774258
425: 115.710833 144.529167 83.046215
426: 86.724998 164.161184 61.372821
427: 148.684850 92.214558 65.435021
428: 130.484701 109.451301 64.087044
429: 95.588735 114.772780 66.391217
430: 91.794453 125.599056 133.725849
431: 127.466724 146.883901 123.650187
432: 61.008357 124.080802 77.894661
433: 78.765652 27.852275 109.202737
434: 130.488875 109.873067 121.494971
435: 114.749387 43.872374 100.170025
436: 105.908512 158.443348 122.619122
437: 120.625996 35.660624 98.303253
438: 80.471288 108.886820 134.831735
439: 151.458805 97.137317 71.334292
440: 80.205424 130.593434 90.797665
441: 99.920518 123.600757 159.381369
442: 73.489891 128.810825 129.183212
443: 73.314964 93.929333 92.926128
444: 36.667237 124.697768 82.799953
445: 70.969902 129.124883 122.960394
446: 102.243829 173.693135 77.003469
447: 93.990619 138.316230 79.050085
448: 134.241865 95.754196 92.277129
449: 108.040115 113.877859 84.021251
450: 111.916871 113.070900 80.180309
451: 76.234593 79.749870 119.582488
452: 85.274681 61.679135 108.788541
453: 94.047859 86.688592 57.585581
454: 76.128095 92.157377 32.883591
455: 131.738805 142.533850 89.498322
456: 39.012921 114.770501 72.247015
457: 71.642665 101.670525 82.958543
458: 84.915448 134.494956 77.625578
459: 65.045619 110.436625 25.572136
460: 84.523447 115.977181 135.016979
461: 86.234214 99.870831 107.485382
462: 40.511993 94.190960 46.573482
463: 122.642527 88.540794 47.763654
464: 45.558101 83.830566 101.789986
465: 80.244439 101.408509 114.550187
466: 116.682203 82.487127 97.786647
467: 77.721496 146.382908 57.881698
468: 116.665378 121.134745 39.828012
469: 71.127863 48.291682 53.209417
470: 105.489524 92.999226 120.024181
471: 104.694402 134.176146 121.855881
472: 90.749184 89.934170 69.749451
473: 100.937145 82.079227 91.634519
474: 100.907652 99.757908 57.986392
475: 140.522332 97.353283 124.167353
476: 57.295162 124.144946 48.196415
477: 90.073236 75.410467 75.300852
478: 109.103111 36.030045 100.090242
479: 121.616992 107.892182 126.970312
480: 110.311985 95.622536 87.690762
481: 111.852373 84.664072 50.419720
482: 80.507568 108.500132 36.055390
483: 61.545917 69.358540 47.488783
484: 82.472227 52.570964 102.501656
485: 37.089680 78.246874 67.907438
486: 150.421937 131.117947 81.831393
487: 86.719807 116.508392 79.584526
488: 95.576933 141.384923 89.907073
489: 87.185384 104.206598 78.565114
490: 113.014515 133.694999 61.867801
491: 72.909919 89.889561 83.663585
492: 58.600793 133.210284 144.076429
493: 40.565384 80.786558 94.046723
494: 97.876744 80.761619 63.036283
495: 71.121511 102.092848 48.670935
496: 35.974843 86.720815 55.728817
497: 87.187592 88.037534 134.787489
498: 92.372860 157.797130 59.466300
499: 82.176099 73.216581 79.527386
500: 71.998686 82.972752 130.634345
501: 121.576866 57.257638 20.378746
502: 143.539991 94.831926 87.970065
503: 106.643278 90.073125 69.172118
504: 66.557326 81.943225 97.299384
505: 136.158191 107.382942 68.363375
506: 86.988837 101.077962 114.691352
507: 89.891199 135.889315 86.724786
508: 107.104419 115.350635 101.726718
509: 106.194813 37.205371 68.488015
510: 54.039716 126.454745 65.363920
511: 116.482816 125.856626 84.475736
512: 83.437156 88.540717 73.258560
513: 33.811062 57.571862 83.823978
514: 77.954341 109.651216 39.570214
515: 59.481686 89.683008 89.095534
516: 107.957176 137.578437 90.569676
517: 78.271478 116.015842 81.226653
518: 132.327858 119.749438 123.421159
519: 100.500131 64.417255 95.794603
520: 132.351643 80.952551 121.109155
521: 89.736460 68.567528 70.812716
522: 80.581492 95.655871 69.079247
523: 127.911850 73.366375 44.491087
524: 53.366946 59.504729 97.895953
525: 46.353561 109.757685 90.669613
526: 107.544172 74.387954 100.828123
527: 97.706533 116.238965 98.026019
528: 62.740867 126.921812 117.409555
529: 107.367824 122.747799 47.393301
530: 129.847878 136.932801 111.551018
531: 122.988914 93.148710 87.416933
532: 78.878833 69.629475 75.540960
533: 94.351700 99.480359 39.840366
534: 68.721114 80.329873 86.283099
535: 116.636094 107.615639 111.648306
536: 89.513370 97.139571 90.330300
537: 111.975750 58.864880 71.638292
538: 65.488593 110.401653 76.703690
539: 80.227781 70.733525 99.127733
540: 65.041801 67.290209 122.973557
541: 88.205099 128.949870 77.709113
542: 89.853069 113.989235 48.291050
543: 40.281872 86.193940 63.104878
544: 102.292770 81.752396 120.777340
545: 144.345031 99.482556 67.229323
546: 96.355062 128.024243 98.528436
547: 78.926106 95.718853 116.087705
548: 56.153260 73.321103 73.569997
549: 79.656921 99.643711 104.451620
550: 91.687326 134.589753 88.475585
551: 132.372156 59.410224 46.196012
552: 83.593500 126.078268 50.096005
553: 105.511512 135.118144 131.699702
554: 118.689283 148.802852 57.376906
555: 118.935920 43.320885 96.729681
556: 59.648655 141.853870 108.208592
557: 110.001959 29.668396 69.854539
558: 110.178386 46.763639 111.921074
559: 50.487545 66.951495 74.291163
560: 105.216851 78.734220 68.240016
561: 79.336011 65.356713 65.132780
562: 109.404518 53.992909 77.063256
563: 154.402189 75.640806 60.215244
564: 93.167213 71.042798 68.751615
565: 132.704413 114.421679 80.186801
566: 88.473959 141.418080 91.651788
567: 133.220045 62.438246 66.629920
568: 113.337717 88.053892 100.436093
569: 76.089852 120.650278 40.758143
570: 60.697785 47.707862 109.788076
571: 81.265065 47.389575 80.198753
572: 12.377052 78.966551 73.160003
573: 43.684012 80.938356 81.988269
574: 151.635437 128.706754 112.140063
575: 95.255030 99.517324 127.501915
576: 72.303344 60.458806 28.282310
577: 89.384288 122.624577 62.687285
578: 91.630323 80.750255 69.566718
579: 93.988674 89.070418 132.818113
580: 73.075402 135.986504 108.471103
581: 89.537831 26.431022 114.549385
582: 111.509895 92.472812 88.781081
583: 93.031224 106.555654 130.608631
584: 57.770088 63.559928 136.572354
585: 97.554107 79.999490 125.574877
586: 72.823081 124.677508 62.051584
587: 76.782912 108.674225 25.973256
588: 105.150676 147.169405 69.215160
589: 125.735652 111.338862 139.152223
590: 118.364783 68.410724 60.275048
591: 42.441445 94.485464 60.830213
592: 85.711569 56.993646 73.650538
593: 39.459418 84.599878 62.245658
594: 106.700776 76.878907 90.494659
595: 97.299211 74.522577 76.881552
596: 75.590303 94.989692 60.366795
597: 104.274314 106.290293 103.412103
598: 50.783817 119.541465 95.382615
599: 108.186584 104.533018 65.008299
600: 103.281907 112.876145 84.187526
601: 105.513519 102.402164 95.927467
602: 118.842352 66.420116 69.291016
603: 114.509770 116.548572 46.243528
604: 65.016739 77.592954 95.073945
605: 98.341922 93.599282 40.629451
606: 116.758718 129.243154 103.227968
607: 77.476272 86.949547 91.653353
608: 81.736150 115.065880 149.696650
609: 50.550258 67.726571 133.841755
610: 31.846431 76.519702 74.203731
611: 124.763056 139.917298 74.029972
612: 95.145636 101.363199 93.618464
613: 100.798624 96.822626 111.934424
614: 50.787264 46.459351 131.849934
615: 124.387854 94.403121 80.095548
616: 135.111119 100.162600 67.291540
617: 71.002559 83.729057 67.087946
618: 76.652907 135.709013 92.114293
619: 71.340948 113.061389 81.340846
620: 149.014390 84.292370 92.454232
621: 78.608778 151.188154 62.387007
622: 61.403864 87.474821 135.638735
623: 107.228493 118.537742 92.690388
624: 67.488284 72.104353 79.529034
625: 74.804010 117.805000 86.713576
626: 90.136121 47.134167 53.716540
627: 142.230086 76.232186 136.521481
628: 45.057982 63.286916 65.652375
629: 90.653404 99.234345 134.620010
630: 127.707147 135.568781 122.554815
631: 45.729657 101.835381 83.147563
632: 98.913999 109.295922 14.164574
633: 87.047983 84.269586 71.052032
634: 86.392084 95.775363 57.773007
635: 155.967848 110.597663 54.192420
636: 50.575795 86.935864 62.280664
637: 98.968412 127.929148 128.368495
638: 125.203932 119.975003 103.661945
639: 141.130167 91.925814 106.938697
640: 90.609761 108.131728 72.195729
641: 96.696755 94.207927 78.188014
642: 52.332958 68.755076 124.626846
643: 81.866165 91.428422 110.504358
644: 80.552839 155.262655 98.983646
645: 119.774030 117.774349 58.300734
