Algorithm: FastMap
Target dimensions: 2
Pivots per dimension:
Dim 1: 6115 4085
Dim 2: 8062 7500
Object coordinates:
666: 45.691868 84.503108
667: 19.081026 98.002609
668: 38.318257 133.846587
669: 62.537987 146.025338
670: 99.595714 149.482539
671: 118.163354 101.552059
672: 32.673961 84.789582
673: 69.704340 72.628959
674: 113.104742 82.265377
675: 149.563888 110.629225
676: 93.188924 110.388320
677: 145.305103 76.516947
678: 48.111380 72.619446
679: 54.725313 70.390493
680: 116.385163 85.383446
681: 71.369619 93.187199
682: 159.593833 95.365463
683: 129.771326 87.260719
684: 119.128026 108.300003
685: 113.954376 72.963356
686: 111.665944 82.004267
687: 138.183192 103.556605
688: 140.949365 113.384703
689: 142.656481 96.078268
690: 74.691967 152.764415
691: 85.389294 29.371856
692: 109.917398 115.416239
693: 104.745508 141.829894
694: 130.027494 53.222710
695: 42.300070 83.686598
696: 82.968240 82.633207
697: 43.856643 88.493756
698: 86.571007 87.750958
699: 152.795518 109.750541
700: 61.537824 74.064327
701: 94.830188 83.357189
702: 64.480231 130.484102
703: 81.448303 105.335256
704: 51.770406 106.926232
705: 126.421408 131.648496
706: 106.833531 107.275840
707: 88.683568 87.026757
708: 103.238464 169.836691
709: 80.395717 124.800116
710: 101.171936 123.410545
711: 56.723780 78.327975
712: 74.564022 123.554543
713: 62.596837 125.616309
714: 74.622587 123.199365
715: 56.817723 57.704306
716: 41.052412 106.698569
717: 104.773356 105.733569
718: 140.451996 116.004165
719: 120.965067 114.780955
720: 122.152482 85.606128
721: 155.626638 122.279747
722: 141.549203 83.330038
723: 105.859209 57.487764
724: 52.364337 101.056964
725: 146.558918 118.931380
726: 136.689449 100.960976
727: 77.260176 109.511907
728: 124.476858 106.008252
729: 144.413491 87.870769
730: 86.071091 72.994314
731: 119.073591 78.291523
732: 108.197305 92.629300
733: 32.042303 72.643961
734: 99.666322 88.395334
735: 69.493739 90.297049
736: 90.790376 95.577666
737: 75.333486 102.462058
738: 112.184064 153.642630
739: 67.750088 79.966141
740: 112.343830 36.382044
741: 118.291779 97.628059
742: 107.840466 76.489820
743: 125.700564 114.105825
744: 101.225489 97.815748
745: 62.111504 95.805999
746: 122.152198 133.457095
747: 100.695547 93.669133
748: 126.001733 61.638965
749: 96.331472 62.186927
750: 86.497699 60.621641
751: 174.878339 103.220560
752: 74.639319 94.181225
753: 97.373648 89.549255
754: 103.850324 148.892960
755: 115.840230 121.670368
756: 118.341203 42.852934
757: 130.987467 103.471623
758: 122.374656 100.473177
759: 107.202222 122.958038
760: 105.715049 139.053895
761: 93.972451 62.467968
762: 117.634694 126.859687
